project,timestamp,commit_sha,commit_timestamp,commit_message,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
algorithmic-efficiency,20251229_104040,ae1bb2179b58a9992e7262d600cc92f66bb6816f,1707968428,fix,original,1,0,0,0,0,9,0.21,x,original,0.0,0.0,0.5588099956512451,0.0,0.5588099956512451,,,,,,,,,,
algorithmic-efficiency,20251229_104040,ae1bb2179b58a9992e7262d600cc92f66bb6816f,1707968428,fix,pymop,1,0,0,0,0,9,0.57,x,pymop,0.2835547924041748,0.6280224323272705,2.3534493446350098,0.0,3.265026569366455,282,KeyInList=282,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=14;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=12,KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tests/version_test.py::test_version_attribute'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tests/version_test.py::test_version_attribute'},79,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=36<>Pydocs_UselessFileOpen=19,390,KeyInList=list_contains=282<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=19<>File_MustClose=close=18<>File_MustClose=end=17<>Pydocs_UselessFileOpen=open=19<>Pydocs_UselessFileOpen=write=19
algorithmic-efficiency,20251229_104040,ae1bb2179b58a9992e7262d600cc92f66bb6816f,1707968428,fix,dylin,1,8,0,0,0,8,84.67,x,dylin,16.083560705184937,0.0,86.40171337127686,0.42555761337280273,102.9108316898346,0,,0,,,,,,,
algorithmic-efficiency,20251229_104040,3318f809fd681d4aed815efde7a75c3af147fe9c,1707969379,trailing whitespaces,original,1,0,0,0,0,9,0.21,x,original,0.0,0.0,0.6197178363800049,0.0,0.6197178363800049,,,,,,,,,,
algorithmic-efficiency,20251229_104040,3318f809fd681d4aed815efde7a75c3af147fe9c,1707969379,trailing whitespaces,pymop,1,0,0,0,0,9,0.54,x,pymop,0.24072742462158203,0.6382856369018555,2.2314586639404297,0.0,3.110471725463867,282,KeyInList=282,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=14;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=12,KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tests/version_test.py::test_version_attribute'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tests/version_test.py::test_version_attribute'},79,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=36<>Pydocs_UselessFileOpen=19,390,KeyInList=list_contains=282<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=19<>File_MustClose=close=18<>File_MustClose=end=17<>Pydocs_UselessFileOpen=open=19<>Pydocs_UselessFileOpen=write=19
algorithmic-efficiency,20251229_104040,3318f809fd681d4aed815efde7a75c3af147fe9c,1707969379,trailing whitespaces,dylin,1,8,0,0,0,8,89.26,x,dylin,16.320038318634033,0.0,90.86553049087524,0.4232006072998047,107.60876941680908,0,,0,,,,,,,
algorithmic-efficiency,20251229_104040,6cec1bb29b53f14658dc25a5a1456ab3eaa64d55,1707970522,fix formatting,original,1,0,0,0,0,9,0.21,x,original,0.0,0.0,0.6020104885101318,0.0,0.6020104885101318,,,,,,,,,,
algorithmic-efficiency,20251229_104040,6cec1bb29b53f14658dc25a5a1456ab3eaa64d55,1707970522,fix formatting,pymop,1,0,0,0,0,9,0.58,x,pymop,0.27152132987976074,0.6654226779937744,2.533299446105957,0.0,3.470243453979492,282,KeyInList=282,3,KeyInList=3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=14;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=12,KeyInList:/usr/lib/python3.12/logging/__init__.py:1708={'tests/version_test.py::test_version_attribute'};KeyInList:/usr/lib/python3.12/logging/__init__.py:1719={'tests/version_test.py::test_version_attribute'},79,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>KeyInList=2<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>File_MustClose=36<>Pydocs_UselessFileOpen=19,390,KeyInList=list_contains=282<>NLTK_NonterminalSymbolMutability=nonterminal_created=16<>File_MustClose=open=19<>File_MustClose=close=18<>File_MustClose=end=17<>Pydocs_UselessFileOpen=open=19<>Pydocs_UselessFileOpen=write=19
algorithmic-efficiency,20251229_104040,6cec1bb29b53f14658dc25a5a1456ab3eaa64d55,1707970522,fix formatting,dylin,1,8,0,0,0,8,85.30,x,dylin,13.673893451690674,0.0,86.98149085044861,0.3501307964324951,101.00551509857178,0,,0,,,,,,,
algorithmic-efficiency,20251229_104040,c9206af77cc4d3978f04cc49d391824f830aec6b,1707971990,formatting,original,1,0,0,0,0,9,0.21,x,original,0.0,0.0,0.672454833984375,0.0,0.672454833984375,,,,,,,,,,
